BLDG|NAME|ADDRESS|CITY|STATE|ROOMS
1022|Vet Med Isolation Barn|1951 SW 16TH AV|GAINESVILLE|FL|25
1023|Vet Med Hay Barn|1951 SW 16TH AV|GAINESVILLE|FL|6
1024|Hydrogen Research Facility|2610 SW 23RD TER|GAINESVILLE|FL|1
1031|Security Guard Hut|1632 SW 34TH ST|GAINESVILLE|FL|1
1032|UF Foundation Research|UNK|GAINESVILLE|FL|13
1033|UF Foundation Storage|UNK|GAINESVILLE|FL|1
1034|Bus Shelter Museum Road at Beaty Towers|1348 MUSEUM RD|GAINESVILLE|FL|1
1043|Florida Museum Storage Shed|3067 RADIO RD|GAINESVILLE|FL|1
1045|Sterilization Shed|1951 SW 16TH AV|GAINESVILLE|FL|3
1046|Bus Shelter at PPD Parking Lot|3266 RADIO RD|GAINESVILLE|FL|1
1047|Condensate Pump House|797 FRATERNITY DR|GAINESVILLE|FL|1
1048|Fiber Hut Mowry|2053 MOWRY RD|GAINESVILLE|FL|1
1049|Baby Gator|793 CORRY CIR|GAINESVILLE|FL|49
1053|Chilled Water Plant #5|1702 MCCARTY DR|GAINESVILLE|FL|7
1054|CWP #5 Mccarty Cooling Towers|1696 MCCARTY DR|GAINESVILLE|FL|1
1055|UF Substation #12|1714 MCCARTY DR|GAINESVILLE|FL|1
1056|Chilled Water Plant #9|1858 MOWRY RD|GAINESVILLE|FL|6
1057|U.F. Substation #13|1858 MOWRY RD|GAINESVILLE|FL|1
1060|Florida Power Substation #2|2942 HULL RD|GAINESVILLE|FL|1
1061|UF Substation #11|2966 HULL RD|GAINESVILLE|FL|1
1062|Recreation Sports Maintenance|UNK|GAINESVILLE|FL|4
1063|Water Reclamation Storage Tank|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1064|Hydropneumatic Tank|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1065|Chlorine Contact Chamber|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1066|Filters|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1067|Clarifier (East)|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1068|Clarifier (West)|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1069|Wwtp Lift Station|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1070|Water Reclamation Administration Building|1103 GALE LEMERAND DR|GAINESVILLE|FL|22
1071|Water Reclamation Shop/Storage|1103 GALE LEMERAND DR|GAINESVILLE|FL|5
1072|Water Reclamation Chemical Storage|1103 GALE LEMERAND DR|GAINESVILLE|FL|3
1073|Water Reclamation Blow/Gen/Elect|1103 GALE LEMERAND DR|GAINESVILLE|FL|2
1074|Water Reclamation Sludge Bldg|1103 GALE LEMERAND DR|GAINESVILLE|FL|3
1075|Water Reclamation Electrical|1103 GALE LEMERAND DR|GAINESVILLE|FL|3
1076|Fiber Hut Aero|939 SWEETWATER DR|GAINESVILLE|FL|1
1077|Wwtp Bnr Basins|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1078|Wwtp Pretreatment Structure|1103 GALE LEMERAND DR|GAINESVILLE|FL|1
1080|Springs Residential Complex|2336 FRATERNITY DR|GAINESVILLE|FL|46
1081|Springs Residential Complex|2312 FRATERNITY DR|GAINESVILLE|FL|8
1082|Springs Residential Complex|2316 FRATERNITY DR|GAINESVILLE|FL|9
1083|Springs Residential Complex|2324 FRATERNITY DR|GAINESVILLE|FL|8
1084|Springs Residential Complex|2328 FRATERNITY DR|GAINESVILLE|FL|8
1085|Springs Residential Complex|2340 FRATERNITY DR|GAINESVILLE|FL|8
1086|Springs Residential Complex|2344 FRATERNITY DR|GAINESVILLE|FL|8
1087|Alfred A. Ring Tennis Pavilion|2325 SW 2ND AV|GAINESVILLE|FL|1
1088|Shands Heliport Office Bldg|UNK|GAINESVILLE|FL|19
1089|Shands Heliport Hangar|UNK|GAINESVILLE|FL|3
